ticker,event_ticker,title,category,result,expiration_value,market_open_time,market_close_time,market_volume,candle_ts,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,candle_volume,open_interest
BTC-24JUL0317-B61750,BTC-24JUL0317,"Bitcoin price range  on Jul 3, 2024?",Crypto,no,,2024-07-02T20:00:00Z,2024-07-03T21:00:00Z,99,1719979200,0.0000,0.1600,0.0000,0.0000,0.2000,0.3200,0.1700,0.3200,0.1800,0.1800,0.1800,0.1800,99.00,99.00
ETH-24JUL0317-B3420,ETH-24JUL0317,"Ethereum price at Jul 3, 2024 at 5pm EDT?",Crypto,no,,2024-07-02T20:00:00Z,2024-07-03T21:00:00Z,1200,1719979200,0.0000,0.1900,0.0000,0.0000,0.2300,0.3200,0.2000,0.3200,0.2300,0.2600,0.2300,0.2600,690.00,690.00
BTC-24JUL0217-B63000,BTC-24JUL0217,"Bitcoin price range  on Jul 2, 2024?",Crypto,no,,2024-07-01T20:00:00Z,2024-07-02T21:00:00Z,408,1719892800,0.0000,0.1400,0.0000,0.0000,0.1700,0.2800,0.1400,0.2800,0.1500,0.1600,0.1500,0.1600,213.00,213.00
BTC-24JUL0217-B62000,BTC-24JUL0217,"Bitcoin price range  on Jul 2, 2024?",Crypto,yes,61917.50,2024-07-01T20:00:00Z,2024-07-02T21:00:00Z,874,1719892800,0.0000,0.1100,0.0000,0.0000,0.1300,0.3200,0.1100,0.3200,0.1400,0.1400,0.1400,0.1400,100.00,100.00
BTC-24JUL0217-B61500,BTC-24JUL0217,"Bitcoin price range  on Jul 2, 2024?",Crypto,no,,2024-07-01T20:00:00Z,2024-07-02T21:00:00Z,2579,1719892800,0.0000,0.0700,0.0000,0.0000,0.1000,0.2800,0.0900,0.2800,0.1100,0.1100,0.1100,0.1100,85.00,85.00
BTC-24JUN2817-T66749.99,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15002,1719547200,0.0000,0.0300,0.0000,0.0000,0.0400,0.1100,0.0300,0.1100,0.0300,0.0300,0.0300,0.0300,15002.00,15002.00
BTC-24JUN2817-B66500,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,20001,1719547200,0.0000,0.0300,0.0000,0.0000,0.0400,0.1100,0.0100,0.0300,0.0100,0.0300,0.0100,0.0300,20001.00,20001.00
BTC-24JUN2817-B66000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,20001,1719547200,0.0000,0.0300,0.0000,0.0000,0.0400,0.1100,0.0100,0.1100,0.0100,0.0300,0.0100,0.0300,20001.00,20001.00
BTC-24JUN2817-B65500,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0300,0.0000,0.0000,0.0400,0.1100,0.0400,0.1100,0.0300,0.0300,0.0300,0.0300,15000.00,15000.00
BTC-24JUN2817-B65000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0300,0.0000,0.0000,0.0400,0.1100,0.0400,0.1100,0.0300,0.0300,0.0300,0.0300,15000.00,15000.00
BTC-24JUN2817-B64500,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0300,0.0000,0.0000,0.0500,0.1100,0.0300,0.0300,0.0300,0.0300,0.0300,0.0300,15000.00,15000.00
BTC-24JUN2817-B64000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0300,0.0000,0.0000,0.0600,0.1100,0.0600,0.1100,0.0300,0.0300,0.0300,0.0300,15000.00,15000.00
BTC-24JUN2817-B63500,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0500,0.0000,0.0000,0.0800,0.1100,0.0800,0.1100,0.0500,0.0500,0.0500,0.0500,15000.00,15000.00
BTC-24JUN2817-B63000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15000,1719547200,0.0000,0.0700,0.0000,0.0000,0.1100,0.1100,0.1100,0.1100,0.0700,0.0700,0.0700,0.0700,15000.00,15000.00
BTC-24JUN2817-B62500,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,15001,1719547200,0.0000,0.1000,0.0000,0.0000,0.1400,0.1400,0.1100,0.1100,0.0800,0.0800,0.0800,0.0800,15000.00,15000.00
BTC-24JUN2817-B61000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,no,,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,20084,1719547200,0.0000,0.1300,0.0000,0.0000,0.1800,0.2400,0.1700,0.2400,0.0400,0.0400,0.0400,0.0400,15000.00,15000.00
BTC-24JUN2817-B60000,BTC-24JUN2817,"Bitcoin price range  on Jun 28, 2024?",Crypto,yes,60116.40,2024-06-27T20:00:00Z,2024-06-28T21:00:00Z,19872,1719547200,0.0000,0.0700,0.0000,0.0000,0.1200,0.2800,0.1100,0.2800,0.0300,0.0300,0.0300,0.0300,15000.00,15000.00
